depth,start
0,270689
0,NA
0,270700
0,270909
0,NA
0,271033
0,271477
0,NA
0,271603
0,272575
0,NA
0,272621
0,272722
0,NA
0,272757
0,273418
0,NA
0,273435
0,273879
0,NA
0,273898
0,274297
0,NA
0,274440
0,275447
0,NA
0,275464
0,276513
0,NA
0,276547
0,277318
0,NA
0,277335
0,278412
0,NA
0,278427
0,278720
0,NA
0,278735
0,278845
0,NA
0,278871
0,278917
0,NA
0,278938
0,280279
0,NA
0,280401
0,281167
0,NA
0,282628
0,284759
0,NA
0,284930
0,284990
0,NA
0,285011
0,285415
0,NA
0,285778
0,287483
0,NA
0,287498
0,287528
0,NA
0,287547
0,287930
0,NA
0,287942
0,288306
0,NA
0,288320
0,288445
0,NA
0,288698
0,289059
0,NA
0,289080
0,289243
0,NA
0,289269
0,289375
0,NA
0,289500
0,292503
0,NA
0,292693
0,293106
0,NA
0,293129
0,293333
0,NA
0,293348
0,293573
0,NA
0,293738
0,294049
0,NA
0,294057
0,294649
0,NA
0,295419
0,295964
0,NA
0,295989
0,296113
0,NA
0,296139
0,297717
0,NA
0,297756
0,297823
0,NA
0,297847
0,298227
0,NA
0,298266
0,298384
0,NA
0,298398
0,298470
0,NA
0,298503
0,299954
0,NA
0,299991
0,301972
0,NA
0,301991
0,302010
0,NA
0,302033
0,303109
0,NA
0,303277
0,303446
0,NA
0,303485
0,304547
0,NA
0,304602
0,305389
0,NA
0,305436
0,306392
0,NA
0,306468
0,306970
0,NA
0,307271
0,308808
0,NA
0,308970
0,309332
0,NA
0,309463
0,309873
0,NA
0,309913
0,311057
0,NA
0,311190
0,311579
0,NA
0,311607
0,312172
0,NA
0,312319
0,313107
0,NA
0,313140
0,313445
0,NA
0,313843
0,315359
0,NA
0,315887
0,316572
0,NA
0,316585
0,316931
0,NA
0,316983
0,317564
0,NA
0,317601
0,317926
0,NA
0,317958
0,319305
0,NA
0,319333
0,319623
0,NA
0,319657
0,320240
0,NA
0,320291
0,321753
0,NA
0,321796
0,323018
0,NA
0,323059
0,323350
0,NA
0,323366
0,324745
0,NA
0,324773
0,325519
0,NA
0,325538
0,326078
0,NA
0,326106
0,326233
0,NA
0,326252
0,326396
0,NA
0,326424
0,326951
0,NA
0,327029
0,327861
0,NA
0,327870
0,329927
0,NA
0,330477
0,330550
0,NA
0,330559
0,331332
0,NA
0,331348
0,331409
0,NA
0,331495
0,333523
0,NA
0,333532
0,334037
0,NA
0,412540
0,414301
0,NA
0,414842
0,415283
0,NA
0,415313
0,415402
0,NA
0,415770
0,416999
0,NA
0,417022
0,419325
0,NA
0,419740
0,422431
0,NA
0,422485
0,422874
0,NA
0,422936
0,422960
0,NA
0,422984
0,423070
0,NA
0,423100
0,423429
0,NA
0,423491
0,423623
0,NA
0,423858
0,425343
0,NA
0,425369
0,425858
0,NA
0,425958
0,426353
0,NA
0,426546
0,426885
0,NA
0,427071
0,427811
0,NA
0,428053
0,428187
0,NA
0,428636
0,429290
0,NA
0,429346
0,431552
0,NA
0,431564
0,431730
0,NA
0,431953
0,432137
0,NA
0,432373
0,432802
